Date,PartID,PartName,ServiceCenter,VehicleModel,QtyOrdered,UnitCost,LeadTimeDays
1/7/2024,P013,Headlight Assembly,Fremont,Cybertruck,69,1034,29
1/3/2024,P012,Fuse Box,Shanghai,Model S,164,1325,22
4/20/2024,P003,Windshield,Shanghai,Model 3,217,1151,29
8/25/2024,P017,Air Filter,Shanghai,Model Y,460,598,9
12/28/2024,P020,Seat Belt Kit,Shanghai,Model 3,217,1266,18
8/26/2024,P005,Motor Assembly,New York,Model S,220,1793,18
9/30/2024,P006,Door Handle,Berlin,Model S,198,746,11
10/20/2024,P013,AC Compressor,New York,Model S,475,1823,7
8/14/2024,P006,Infotainment Screen,Austin,Model 3,32,653,12
1/15/2024,P013,Headlight Assembly,Fremont,Model X,186,702,10
7/10/2024,P015,Infotainment Screen,Shanghai,Model S,488,807,29
4/28/2024,P002,Battery Module,Austin,Cybertruck,146,116,22
1/28/2024,P011,Coolant Pump,Austin,Model X,297,206,9
7/20/2024,P016,Coolant Pump,Berlin,Model 3,52,868,27
2/8/2024,P018,Suspension Arm,New York,Model 3,404,1269,5
9/29/2024,P002,Shock Absorber,Fremont,Model 3,235,472,9
8/18/2024,P010,Fuse Box,Shanghai,Model 3,242,770,7
3/26/2024,P013,Steering Wheel,Shanghai,Cybertruck,428,1345,4
5/5/2024,P008,Coolant Pump,Berlin,Model S,405,782,18
10/26/2024,P007,Infotainment Screen,Berlin,Model Y,468,138,24
1/25/2024,P016,Brake Pad Set,Shanghai,Cybertruck,126,1357,3
5/24/2024,P017,Bumper Cover,Shanghai,Model X,142,724,9
1/13/2024,P009,Headlight Assembly,Shanghai,Model X,360,1233,4
7/30/2024,P008,AC Compressor,Berlin,Model Y,254,1732,21
1/25/2024,P020,Tire Set,Austin,Model Y,393,70,25
3/8/2024,P005,Suspension Arm,Austin,Model 3,384,698,12
3/7/2024,P005,Brake Pad Set,New York,Cybertruck,109,1685,29
8/20/2024,P013,Mirror Assembly,Fremont,Cybertruck,231,1914,10
4/18/2024,P016,Fuse Box,Austin,Model 3,432,510,8
5/25/2024,P011,Headlight Assembly,Shanghai,Cybertruck,42,1140,8
4/20/2024,P015,Air Filter,Berlin,Model 3,464,934,26
8/15/2024,P017,Air Filter,Shanghai,Cybertruck,259,1208,21
4/20/2024,P015,Mirror Assembly,Shanghai,Model Y,141,452,21
2/3/2024,P012,Door Handle,Shanghai,Model 3,439,865,24
4/20/2024,P004,Charging Cable,Fremont,Model X,290,1596,6
9/20/2024,P004,Tire Set,Fremont,Model S,248,1571,25
8/23/2024,P016,Radiator,Berlin,Cybertruck,286,408,21
3/23/2024,P015,Shock Absorber,Fremont,Model X,392,445,8
2/11/2024,P008,Radiator,Shanghai,Model X,233,1161,9
4/10/2024,P020,Seat Belt Kit,Fremont,Model S,251,1831,10
1/6/2024,P008,Suspension Arm,Berlin,Model 3,68,453,24
6/28/2024,P011,AC Compressor,Fremont,Model 3,204,1697,27
10/8/2024,P017,Headlight Assembly,Austin,Model S,264,674,13
11/15/2024,P003,Shock Absorber,Berlin,Model X,36,306,16
8/13/2024,P007,Steering Wheel,Shanghai,Model X,25,942,13
11/10/2024,P012,Fuse Box,Austin,Cybertruck,109,1426,15
12/30/2024,P001,Air Filter,Shanghai,Cybertruck,239,159,15
8/16/2024,P011,Fuse Box,New York,Model S,311,1538,16
10/15/2024,P005,Shock Absorber,Berlin,Model S,248,650,21
5/29/2024,P006,Steering Wheel,Fremont,Cybertruck,137,1056,22
10/3/2024,P014,Tire Set,New York,Model 3,384,1340,24
7/16/2024,P017,Brake Pad Set,Shanghai,Model S,488,1803,21
3/10/2024,P003,Headlight Assembly,New York,Model 3,156,197,4
4/21/2024,P004,Suspension Arm,Shanghai,Model Y,63,554,4
1/4/2024,P001,Seat Belt Kit,New York,Model Y,284,60,13
12/15/2024,P004,Motor Assembly,Austin,Cybertruck,284,555,9
11/26/2024,P014,Windshield,Austin,Model 3,399,1601,22
11/13/2024,P007,AC Compressor,Berlin,Model 3,203,1905,22
12/15/2024,P007,Coolant Pump,Berlin,Model X,163,960,27
4/4/2024,P001,Windshield,Austin,Model 3,55,739,23
5/31/2024,P002,Motor Assembly,New York,Model X,168,493,8
11/6/2024,P003,Steering Wheel,Berlin,Model 3,7,1016,24
5/16/2024,P018,Suspension Arm,Berlin,Model X,251,192,13
9/3/2024,P011,Battery Module,Austin,Model 3,91,1370,27
8/30/2024,P012,Air Filter,New York,Cybertruck,96,1762,8
1/31/2024,P014,Door Handle,Berlin,Model 3,475,185,11
2/9/2024,P009,Tire Set,Austin,Model X,464,335,29
8/16/2024,P010,Door Handle,New York,Model S,74,536,15
2/5/2024,P013,Tire Set,Fremont,Model S,143,1006,11
8/10/2024,P003,Door Handle,Fremont,Model S,308,271,28
1/6/2024,P009,Infotainment Screen,Fremont,Model X,42,871,17
11/17/2024,P002,Coolant Pump,Shanghai,Model X,183,1487,17
8/7/2024,P008,Radiator,Austin,Model X,65,414,3
3/15/2024,P007,Shock Absorber,Austin,Model S,496,1595,12
1/4/2024,P009,Brake Pad Set,New York,Model Y,499,1830,5
11/30/2024,P013,Coolant Pump,Shanghai,Model Y,305,788,13
5/13/2024,P007,Suspension Arm,Fremont,Cybertruck,43,1340,6
4/27/2024,P007,Radiator,Berlin,Model S,461,1092,24
4/3/2024,P001,Tire Set,Shanghai,Model X,336,1329,13
3/2/2024,P002,Fuse Box,Austin,Model S,380,296,18
7/12/2024,P017,Mirror Assembly,Fremont,Model X,154,850,12
11/30/2024,P010,Bumper Cover,New York,Model S,412,523,10
7/21/2024,P015,Suspension Arm,Berlin,Model 3,327,910,18
1/26/2024,P016,Charging Cable,New York,Model 3,338,269,15
6/21/2024,P013,Brake Pad Set,Fremont,Model Y,466,1705,11
10/26/2024,P008,Coolant Pump,Shanghai,Model X,411,239,22
5/12/2024,P009,AC Compressor,Fremont,Model 3,81,797,20
11/21/2024,P001,AC Compressor,Austin,Model X,498,1453,28
4/27/2024,P004,Bumper Cover,Shanghai,Model S,403,206,10
11/19/2024,P018,Motor Assembly,Austin,Model X,358,292,12
10/1/2024,P001,AC Compressor,Berlin,Model Y,243,697,9
7/30/2024,P003,Infotainment Screen,Shanghai,Model S,330,729,14
8/12/2024,P010,AC Compressor,Berlin,Cybertruck,477,986,6
1/20/2024,P002,AC Compressor,New York,Model Y,394,1913,10
4/22/2024,P018,Bumper Cover,Shanghai,Model S,85,1979,4
5/19/2024,P002,Windshield,Fremont,Cybertruck,31,1053,23
2/16/2024,P013,Motor Assembly,Shanghai,Model S,497,264,14
1/1/2024,P009,Coolant Pump,New York,Model Y,182,1688,8
3/30/2024,P002,Battery Module,Berlin,Model 3,187,181,8
5/21/2024,P002,Steering Wheel,Austin,Model S,307,1741,22
11/15/2024,P005,Steering Wheel,Fremont,Model Y,364,1227,10
2/7/2024,P014,Bumper Cover,Berlin,Cybertruck,246,497,9
10/19/2024,P003,Air Filter,Fremont,Cybertruck,177,378,9
5/18/2024,P014,Infotainment Screen,Fremont,Model X,297,1746,22
12/21/2024,P001,Battery Module,Fremont,Model X,276,1835,15
11/28/2024,P009,Infotainment Screen,Berlin,Model 3,274,1065,14
9/15/2024,P016,Charging Cable,Berlin,Cybertruck,458,1447,7
6/9/2024,P017,Tire Set,Fremont,Cybertruck,421,1396,4
6/26/2024,P008,Battery Module,Berlin,Cybertruck,4,1833,7
1/10/2024,P015,Air Filter,New York,Cybertruck,228,944,5
9/17/2024,P008,Motor Assembly,Shanghai,Cybertruck,119,945,8
5/17/2024,P007,Door Handle,Fremont,Model 3,37,1421,6
6/20/2024,P009,Charging Cable,Shanghai,Model Y,112,983,20
1/13/2024,P002,Coolant Pump,Fremont,Model S,105,515,21
6/16/2024,P010,Brake Pad Set,New York,Cybertruck,146,192,17
5/9/2024,P005,Shock Absorber,Austin,Model S,470,1196,13
3/24/2024,P016,AC Compressor,Berlin,Model S,174,1270,27
11/16/2024,P001,AC Compressor,Austin,Model X,335,812,11
11/14/2024,P006,Motor Assembly,New York,Model Y,180,922,23
4/10/2024,P010,Shock Absorber,Fremont,Model S,229,1912,17
11/24/2024,P010,Coolant Pump,Austin,Model Y,235,1239,15
9/29/2024,P019,Tire Set,Berlin,Model Y,52,290,7
9/21/2024,P013,Tire Set,Shanghai,Model S,101,1610,19
2/7/2024,P019,Seat Belt Kit,Shanghai,Cybertruck,402,1501,3
4/3/2024,P003,Brake Pad Set,Shanghai,Model X,431,1175,22
4/4/2024,P013,Radiator,Berlin,Cybertruck,434,317,19
10/31/2024,P004,Brake Pad Set,Shanghai,Model 3,387,1871,18
3/9/2024,P008,Bumper Cover,Shanghai,Model S,238,222,25
11/13/2024,P012,Radiator,New York,Model X,296,1045,15
8/23/2024,P017,Radiator,Austin,Model X,406,949,29
11/29/2024,P001,Headlight Assembly,New York,Model Y,219,1295,14
5/16/2024,P002,Windshield,New York,Model X,440,878,22
3/16/2024,P009,AC Compressor,Berlin,Model 3,243,1371,13
2/4/2024,P001,Shock Absorber,New York,Cybertruck,384,1601,6
1/1/2024,P019,Headlight Assembly,Fremont,Model S,58,103,14
10/22/2024,P017,Infotainment Screen,Fremont,Model S,241,1301,24
11/15/2024,P005,Shock Absorber,Fremont,Model Y,81,1905,10
2/29/2024,P015,Brake Pad Set,Shanghai,Model S,192,886,29
11/15/2024,P020,Motor Assembly,New York,Model S,410,1513,26
12/14/2024,P012,Battery Module,New York,Model S,64,993,25
11/23/2024,P004,AC Compressor,Shanghai,Cybertruck,415,1117,3
9/23/2024,P015,Fuse Box,New York,Cybertruck,167,576,20
12/26/2024,P003,Infotainment Screen,Shanghai,Model 3,428,1408,17
8/16/2024,P014,Infotainment Screen,Berlin,Model Y,237,1645,27
9/26/2024,P004,Mirror Assembly,Austin,Model S,201,851,16
11/11/2024,P019,Bumper Cover,Berlin,Cybertruck,364,846,4
10/12/2024,P006,Bumper Cover,Shanghai,Model Y,169,1155,20
10/17/2024,P017,Motor Assembly,Fremont,Cybertruck,34,1857,26
7/31/2024,P018,Fuse Box,Fremont,Model 3,63,1997,11
6/13/2024,P008,Battery Module,Fremont,Model Y,411,1930,26
1/5/2024,P019,Battery Module,New York,Model S,372,1443,22
12/4/2024,P020,Battery Module,New York,Cybertruck,392,624,15
3/18/2024,P012,Bumper Cover,Fremont,Model S,17,1411,5
3/2/2024,P017,Battery Module,Fremont,Model S,40,902,11
5/11/2024,P019,Headlight Assembly,Berlin,Model Y,332,360,15
3/29/2024,P001,Tire Set,Shanghai,Model 3,60,1861,26
8/24/2024,P011,Brake Pad Set,New York,Model 3,365,1077,18
2/11/2024,P010,AC Compressor,Austin,Model S,88,1320,13
3/29/2024,P016,Infotainment Screen,Shanghai,Model 3,44,1954,25
10/22/2024,P005,Shock Absorber,Fremont,Model 3,173,326,4
11/23/2024,P017,Bumper Cover,Berlin,Model S,250,938,17
10/21/2024,P009,Charging Cable,Austin,Model X,181,401,28
4/13/2024,P008,Tire Set,Shanghai,Model Y,497,1739,7
1/14/2024,P010,Charging Cable,Austin,Model S,157,556,29
10/14/2024,P008,Motor Assembly,Fremont,Model X,494,362,8
6/27/2024,P003,Steering Wheel,Shanghai,Model S,308,503,26
5/4/2024,P012,Headlight Assembly,New York,Model X,485,1842,27
12/18/2024,P004,Tire Set,Berlin,Model S,205,195,8
1/23/2024,P018,Air Filter,New York,Model X,325,1019,15
3/3/2024,P009,Shock Absorber,Austin,Model 3,146,1702,4
5/22/2024,P004,Bumper Cover,Shanghai,Cybertruck,359,92,6
6/1/2024,P002,Brake Pad Set,Shanghai,Model 3,461,975,6
5/24/2024,P007,Mirror Assembly,New York,Model 3,376,1286,21
8/12/2024,P018,Suspension Arm,Fremont,Model S,373,243,21
11/4/2024,P002,Infotainment Screen,Berlin,Model X,16,71,4
4/13/2024,P002,Door Handle,Shanghai,Model 3,103,1536,27
4/13/2024,P010,Bumper Cover,Austin,Model Y,349,1863,17
2/8/2024,P003,Windshield,Fremont,Model S,318,1154,11
7/16/2024,P019,Fuse Box,Shanghai,Model S,270,198,12
5/13/2024,P002,Tire Set,Berlin,Model S,424,108,16
3/7/2024,P003,Fuse Box,Shanghai,Model X,214,841,9
6/27/2024,P009,Charging Cable,New York,Model Y,84,553,17
2/11/2024,P011,Fuse Box,New York,Cybertruck,157,297,24
1/15/2024,P011,Headlight Assembly,Austin,Model X,36,890,21
4/20/2024,P003,Shock Absorber,New York,Model X,352,1556,8
6/5/2024,P005,Fuse Box,New York,Model 3,140,899,20
10/15/2024,P012,Charging Cable,New York,Model S,214,1498,15
8/18/2024,P015,Infotainment Screen,Austin,Cybertruck,273,977,20
6/5/2024,P017,Door Handle,Austin,Model Y,367,1569,8
2/7/2024,P016,Air Filter,Fremont,Model X,366,1068,19
4/6/2024,P017,Motor Assembly,Shanghai,Model S,412,242,12
10/15/2024,P015,Seat Belt Kit,Austin,Model X,318,150,15
9/10/2024,P013,Door Handle,Fremont,Cybertruck,334,1268,29
7/14/2024,P002,Shock Absorber,Berlin,Model S,44,444,20
3/26/2024,P017,Headlight Assembly,Shanghai,Model 3,33,479,15
11/17/2024,P001,Headlight Assembly,Berlin,Model S,318,738,16
1/10/2024,P010,Coolant Pump,Berlin,Model Y,153,1753,9
1/5/2024,P004,Radiator,Austin,Model S,237,1691,23
5/2/2024,P010,Door Handle,Austin,Model 3,461,1416,20
11/25/2024,P012,Air Filter,Fremont,Cybertruck,297,1586,23
12/18/2024,P003,Fuse Box,Austin,Model Y,22,749,14
4/27/2024,P001,Radiator,Fremont,Cybertruck,195,524,24
10/20/2024,P019,Air Filter,Austin,Cybertruck,374,1760,15
6/7/2024,P001,Charging Cable,Berlin,Model 3,128,1263,27
10/29/2024,P019,Tire Set,Shanghai,Model 3,494,1856,10
8/15/2024,P004,Motor Assembly,Shanghai,Model S,258,1478,14
12/30/2024,P013,Steering Wheel,Austin,Model Y,115,1571,6
8/3/2024,P014,Fuse Box,New York,Model S,46,1030,28
7/2/2024,P014,Coolant Pump,New York,Model S,220,431,14
1/15/2024,P003,Tire Set,Berlin,Model Y,52,449,25
6/5/2024,P019,AC Compressor,Austin,Model 3,224,1498,23
5/15/2024,P011,Suspension Arm,Berlin,Model S,390,1934,12
9/17/2024,P009,Suspension Arm,Shanghai,Model S,224,454,29
6/5/2024,P006,Motor Assembly,Berlin,Cybertruck,149,542,6
2/16/2024,P004,Suspension Arm,Shanghai,Model X,263,708,25
11/19/2024,P005,Headlight Assembly,Austin,Model Y,56,145,26
11/27/2024,P009,Fuse Box,Berlin,Model S,174,294,3
6/21/2024,P001,Air Filter,Berlin,Model 3,238,481,15
5/9/2024,P015,Motor Assembly,New York,Model X,276,1244,20
4/4/2024,P011,Charging Cable,New York,Model 3,208,845,6
4/24/2024,P001,AC Compressor,Berlin,Model S,37,740,9
8/30/2024,P017,Mirror Assembly,Berlin,Model 3,51,575,5
10/18/2024,P015,Suspension Arm,New York,Model 3,287,1310,29
10/8/2024,P014,Battery Module,Fremont,Model X,250,426,27
10/25/2024,P009,Air Filter,Shanghai,Cybertruck,171,1270,22
10/9/2024,P004,Mirror Assembly,Austin,Model Y,58,1425,28
3/9/2024,P009,Infotainment Screen,New York,Model S,350,80,29
5/27/2024,P005,Battery Module,Austin,Model 3,60,1445,20
1/11/2024,P003,Seat Belt Kit,Berlin,Model S,395,1533,10
9/10/2024,P018,Seat Belt Kit,Austin,Model 3,65,1600,5
11/25/2024,P009,Bumper Cover,Berlin,Cybertruck,377,1102,8
12/25/2024,P004,Windshield,Berlin,Cybertruck,175,282,25
2/7/2024,P007,Air Filter,Berlin,Model S,411,210,4
5/13/2024,P001,Steering Wheel,Fremont,Model S,222,1090,19
7/18/2024,P016,Coolant Pump,New York,Model S,102,1487,10
1/23/2024,P006,Radiator,Shanghai,Model S,150,1676,9
10/29/2024,P006,Charging Cable,Austin,Cybertruck,449,499,6
12/11/2024,P014,Mirror Assembly,Shanghai,Model Y,471,827,18
10/28/2024,P005,Steering Wheel,New York,Model 3,50,1429,27
12/28/2024,P011,Door Handle,New York,Cybertruck,232,1264,16
8/5/2024,P001,Charging Cable,Austin,Model X,325,1733,11
5/20/2024,P020,Bumper Cover,Fremont,Model Y,97,423,7
4/13/2024,P010,Windshield,Shanghai,Model S,30,1972,11
7/28/2024,P001,Motor Assembly,Fremont,Model S,413,1322,20
4/20/2024,P004,Charging Cable,Berlin,Model S,320,401,9
4/13/2024,P008,Motor Assembly,Berlin,Cybertruck,459,1600,22
11/11/2024,P001,Radiator,Berlin,Model S,340,1982,14
6/19/2024,P008,Shock Absorber,New York,Cybertruck,98,1251,24
12/21/2024,P014,Radiator,Fremont,Model 3,196,1792,25
11/19/2024,P017,Motor Assembly,New York,Model X,81,1871,22
5/12/2024,P009,Fuse Box,Fremont,Model 3,331,1383,5
10/19/2024,P006,Charging Cable,Austin,Model S,136,569,27
11/23/2024,P001,Mirror Assembly,New York,Model 3,22,1173,29
5/6/2024,P009,Brake Pad Set,Berlin,Model 3,384,433,8
4/15/2024,P001,Mirror Assembly,Berlin,Model X,322,1264,13
4/1/2024,P014,Charging Cable,New York,Model Y,294,1493,22
10/13/2024,P011,Headlight Assembly,Shanghai,Model X,233,126,10
2/20/2024,P008,Motor Assembly,Austin,Model S,225,1598,13
1/29/2024,P012,Steering Wheel,Berlin,Model 3,419,873,11
10/22/2024,P006,Tire Set,Austin,Model X,297,763,29
10/23/2024,P017,Headlight Assembly,Shanghai,Model Y,11,817,4
8/1/2024,P011,Air Filter,New York,Model X,493,282,15
9/23/2024,P010,Radiator,Austin,Cybertruck,27,1400,26
9/13/2024,P008,Steering Wheel,Fremont,Model Y,495,640,22
10/28/2024,P012,Air Filter,Fremont,Model S,94,1985,25
4/10/2024,P004,Steering Wheel,Shanghai,Model X,485,227,15
12/11/2024,P013,Bumper Cover,Fremont,Model Y,100,838,11
4/19/2024,P003,Brake Pad Set,Berlin,Model X,332,1878,3
6/30/2024,P020,Bumper Cover,Fremont,Model S,355,787,13
11/8/2024,P004,Motor Assembly,Berlin,Cybertruck,120,1316,25
1/1/2024,P008,Brake Pad Set,Berlin,Model 3,481,1504,10
11/14/2024,P005,Shock Absorber,Berlin,Model X,374,500,17
2/24/2024,P002,Suspension Arm,Berlin,Model X,239,1090,4
5/28/2024,P008,Infotainment Screen,Fremont,Model X,315,533,21
11/4/2024,P005,Brake Pad Set,Shanghai,Model 3,237,412,4
5/16/2024,P016,Mirror Assembly,Berlin,Cybertruck,290,1968,5
7/20/2024,P015,Fuse Box,Shanghai,Model X,204,1234,4
11/8/2024,P019,Steering Wheel,Shanghai,Cybertruck,139,1756,14
4/26/2024,P013,Door Handle,New York,Cybertruck,284,360,14
6/2/2024,P011,Air Filter,Shanghai,Model S,318,1426,23
10/17/2024,P016,Brake Pad Set,Austin,Model Y,490,245,13
3/3/2024,P018,Fuse Box,Berlin,Model X,336,307,23
8/31/2024,P015,Air Filter,Shanghai,Model X,427,491,13
1/25/2024,P006,Tire Set,New York,Cybertruck,376,859,6
3/30/2024,P008,Bumper Cover,New York,Model Y,355,1522,15
3/15/2024,P004,Seat Belt Kit,Austin,Model X,100,1334,8
10/20/2024,P016,Seat Belt Kit,New York,Model 3,442,962,17
7/28/2024,P011,Coolant Pump,Berlin,Model X,294,836,23
12/12/2024,P020,Radiator,New York,Cybertruck,66,1833,24
1/17/2024,P002,Charging Cable,Austin,Model S,259,1580,13
5/7/2024,P004,Motor Assembly,Berlin,Model S,278,1485,11
12/29/2024,P014,Windshield,Fremont,Model X,70,1200,17
9/7/2024,P011,Battery Module,Berlin,Model 3,297,1913,29
6/27/2024,P004,Shock Absorber,Shanghai,Model X,337,1190,29
6/30/2024,P003,Tire Set,Fremont,Model 3,218,1029,13
5/31/2024,P005,Mirror Assembly,Shanghai,Model S,57,1635,22
1/25/2024,P006,Steering Wheel,Shanghai,Model S,90,392,7
6/28/2024,P009,Mirror Assembly,Shanghai,Model 3,367,465,17
7/16/2024,P004,Radiator,Austin,Model Y,109,75,29
12/9/2024,P007,Infotainment Screen,Austin,Cybertruck,218,1617,12
6/9/2024,P013,Motor Assembly,Berlin,Model 3,284,1762,13
6/25/2024,P010,Battery Module,Austin,Model Y,463,402,6
10/11/2024,P012,Battery Module,New York,Model Y,226,1692,15
3/3/2024,P010,Door Handle,New York,Model X,423,1722,21
5/29/2024,P011,Motor Assembly,Shanghai,Model 3,196,1726,15
6/2/2024,P011,Tire Set,Berlin,Model Y,279,982,29
6/4/2024,P006,Steering Wheel,New York,Cybertruck,302,665,7
2/18/2024,P006,Infotainment Screen,Fremont,Model S,399,398,29
12/2/2024,P020,Battery Module,Austin,Model X,401,1400,19
3/24/2024,P006,Shock Absorber,Shanghai,Model 3,100,1284,24
12/26/2024,P012,Air Filter,Austin,Model 3,94,1280,23
6/25/2024,P014,Mirror Assembly,Berlin,Model X,98,633,25
5/27/2024,P018,Windshield,Shanghai,Cybertruck,481,529,20
4/27/2024,P019,Steering Wheel,Shanghai,Model S,490,531,8
12/7/2024,P010,Shock Absorber,Austin,Model Y,310,1841,7
3/3/2024,P010,Coolant Pump,Shanghai,Model Y,490,1479,8
7/7/2024,P007,Fuse Box,Shanghai,Model Y,282,1457,29
12/25/2024,P010,Battery Module,Fremont,Model X,448,1609,4
2/18/2024,P014,Coolant Pump,Shanghai,Model S,304,882,19
11/22/2024,P005,Tire Set,Austin,Model X,155,1678,26
9/13/2024,P011,Radiator,New York,Model 3,301,214,19
8/11/2024,P007,Battery Module,Shanghai,Model Y,121,1622,22
5/20/2024,P020,Bumper Cover,Berlin,Model 3,365,908,7
8/2/2024,P018,Brake Pad Set,Shanghai,Cybertruck,69,271,5
7/29/2024,P011,Brake Pad Set,Shanghai,Model Y,267,1744,7
11/13/2024,P020,Air Filter,Shanghai,Model 3,67,966,19
2/1/2024,P003,Infotainment Screen,Fremont,Model X,386,222,16
6/6/2024,P007,Steering Wheel,Berlin,Model 3,77,1754,28
10/11/2024,P004,Charging Cable,Austin,Model Y,470,411,22
10/31/2024,P019,Fuse Box,Shanghai,Model X,260,598,25
10/12/2024,P018,Headlight Assembly,Austin,Model X,346,1474,25
5/23/2024,P011,Windshield,Fremont,Model 3,464,1896,25
1/19/2024,P014,Air Filter,Shanghai,Cybertruck,138,1954,28
1/18/2024,P010,Air Filter,Fremont,Model 3,498,889,29
9/13/2024,P014,Fuse Box,Fremont,Model Y,493,576,3
3/18/2024,P004,Coolant Pump,New York,Cybertruck,204,156,12
6/23/2024,P012,Seat Belt Kit,New York,Cybertruck,498,759,23
7/12/2024,P012,Windshield,New York,Model X,129,489,29
4/22/2024,P002,Tire Set,Berlin,Model 3,360,1685,27
4/23/2024,P006,Motor Assembly,Fremont,Model 3,348,763,12
8/9/2024,P005,Seat Belt Kit,Austin,Model S,76,1671,3
6/14/2024,P019,Shock Absorber,New York,Model S,50,1398,20
11/14/2024,P015,Radiator,Berlin,Model Y,153,1678,17
5/11/2024,P010,Door Handle,Shanghai,Model 3,158,1394,11
9/20/2024,P007,Bumper Cover,New York,Model 3,36,274,16
2/24/2024,P019,Battery Module,Shanghai,Model S,275,973,26
12/24/2024,P008,Windshield,Shanghai,Cybertruck,170,1827,22
5/10/2024,P015,Tire Set,Shanghai,Cybertruck,219,1626,24
10/14/2024,P004,Radiator,New York,Model X,27,1280,20
9/22/2024,P013,AC Compressor,Fremont,Model X,425,79,7
12/31/2024,P005,Mirror Assembly,Berlin,Model Y,488,499,16
6/10/2024,P011,AC Compressor,Berlin,Model 3,442,281,18
3/27/2024,P016,Door Handle,Fremont,Model Y,219,296,24
2/24/2024,P020,Seat Belt Kit,New York,Model 3,206,532,27
10/14/2024,P018,Fuse Box,Fremont,Model X,76,556,10
6/26/2024,P015,Door Handle,Shanghai,Model 3,191,855,25
12/14/2024,P001,AC Compressor,Shanghai,Model Y,225,1825,7
1/8/2024,P008,Door Handle,New York,Model X,257,1681,6
11/16/2024,P004,Motor Assembly,Berlin,Model X,478,929,24
11/8/2024,P009,Air Filter,Fremont,Cybertruck,55,583,24
9/3/2024,P019,Air Filter,Fremont,Model X,331,1519,28
11/18/2024,P007,AC Compressor,Fremont,Model Y,265,1935,24
9/11/2024,P015,Seat Belt Kit,Berlin,Model 3,242,835,6
11/23/2024,P003,Mirror Assembly,Fremont,Cybertruck,447,979,17
2/23/2024,P012,Headlight Assembly,Fremont,Model Y,281,1258,20
9/5/2024,P002,Charging Cable,New York,Model 3,120,1364,3
8/26/2024,P019,Shock Absorber,Berlin,Model S,208,1794,8
8/16/2024,P007,Motor Assembly,Fremont,Model S,427,1212,21
3/7/2024,P011,Radiator,Austin,Cybertruck,200,1892,29
2/20/2024,P019,Mirror Assembly,New York,Cybertruck,228,1737,16
4/6/2024,P008,Air Filter,Fremont,Model X,117,1083,27
4/1/2024,P013,Windshield,New York,Model Y,219,99,18
9/20/2024,P009,Coolant Pump,Shanghai,Model 3,450,1414,13
10/17/2024,P002,Suspension Arm,Fremont,Model S,45,451,20
4/5/2024,P018,Tire Set,Fremont,Model S,357,1982,6
3/28/2024,P015,Windshield,Fremont,Cybertruck,144,409,15
3/18/2024,P011,Charging Cable,Berlin,Model Y,283,1142,24
10/14/2024,P015,Seat Belt Kit,New York,Cybertruck,240,368,29
4/29/2024,P018,Air Filter,Fremont,Model Y,96,213,28
10/28/2024,P014,Radiator,Fremont,Model S,223,202,11
6/13/2024,P019,Battery Module,New York,Model Y,90,829,13
6/30/2024,P013,Seat Belt Kit,Berlin,Cybertruck,280,539,15
8/10/2024,P016,Suspension Arm,Austin,Model X,10,1651,28
11/6/2024,P002,Fuse Box,Shanghai,Model Y,56,374,7
1/7/2024,P002,Coolant Pump,New York,Model X,23,1175,9
11/25/2024,P017,Motor Assembly,New York,Model S,304,1072,9
9/19/2024,P020,Radiator,Austin,Model X,61,1542,7
6/9/2024,P018,Seat Belt Kit,Fremont,Model Y,305,267,15
5/30/2024,P010,Door Handle,Austin,Cybertruck,313,1962,25
3/25/2024,P012,Radiator,Fremont,Cybertruck,448,533,5
5/26/2024,P003,Coolant Pump,Fremont,Model 3,73,1040,16
4/21/2024,P006,Bumper Cover,Fremont,Model S,222,529,10
2/5/2024,P020,Tire Set,Berlin,Cybertruck,340,913,4
10/11/2024,P005,Seat Belt Kit,Austin,Cybertruck,432,1607,22
7/6/2024,P008,Air Filter,Berlin,Model S,426,1104,4
3/22/2024,P018,Bumper Cover,Berlin,Cybertruck,487,1218,24
1/2/2024,P016,Bumper Cover,Austin,Model Y,100,629,6
10/29/2024,P014,Battery Module,Austin,Model 3,424,1312,29
7/15/2024,P006,Bumper Cover,Fremont,Model S,244,1091,7
1/11/2024,P011,Steering Wheel,New York,Model X,451,1459,8
8/21/2024,P006,Mirror Assembly,New York,Cybertruck,36,694,3
7/13/2024,P005,Mirror Assembly,Shanghai,Model Y,5,384,19
4/28/2024,P015,Bumper Cover,Fremont,Model 3,318,1574,24
1/20/2024,P006,Charging Cable,Austin,Cybertruck,22,1896,20
9/17/2024,P016,Mirror Assembly,New York,Model X,317,1581,29
10/19/2024,P018,Suspension Arm,Shanghai,Model S,340,1290,7
9/12/2024,P001,Fuse Box,New York,Model S,264,1578,19
8/9/2024,P003,Steering Wheel,Berlin,Model Y,438,1364,14
8/13/2024,P020,AC Compressor,Fremont,Model Y,160,378,10
2/22/2024,P003,Mirror Assembly,Fremont,Model X,88,54,15
12/20/2024,P007,Suspension Arm,Berlin,Model 3,282,237,15
12/7/2024,P014,Brake Pad Set,Shanghai,Model 3,242,1698,17
12/29/2024,P018,Shock Absorber,Austin,Model S,125,1081,24
10/6/2024,P015,Battery Module,Austin,Model S,165,234,7
3/21/2024,P013,Windshield,Berlin,Model Y,370,1663,20
7/20/2024,P019,Air Filter,Berlin,Cybertruck,314,233,11
